Scaffold,n_Scaffold,ClusterCount,IntraTanimoto,IntraCosine,InterTanimoto,InterCosine,TanimotoDifference,CosineDifference,Selected_Scaffold
C1=Nc2c(-c3ccccc3)csc2C(c2ccccc2)C1,16,2,0.6520055929131309,0.20822521757800183,0.5649122388812262,0.02548022590266517,0.08709335403190466,0.18274499167533667,False
C1=Nc2cc3c(cc2C(c2ccccc2)C1)OCCO3,23,2,0.5925421138714085,0.5396074387190151,0.585218046048694,0.2824560502145208,0.007324067822714553,0.25715138850449426,True
C1=Nc2cc3c(cc2C(c2ccccc2)C1)OCO3,17,2,0.6059226601004494,0.39229752489694375,0.5556518447436528,0.033055780244896374,0.05027081535679656,0.3592417446520474,True
C1=Nc2ccccc2C(c2ccccc2)C1,13,2,0.5454514821570429,0.42138658178985666,0.49764037843725023,0.033539109566586116,0.047811103719792636,0.38784747222327054,True
C1=Nc2ccccc2C(c2ccccc2)NC1,8,2,0.49097327192946805,0.0978973799477122,0.45037968522052874,-0.030585274942930545,0.04059358670893931,0.12848265489064273,False
C1=Nc2ccccc2OC1,10,2,0.30572350576052276,0.05655020634392308,0.2599202709399322,-0.008201723766316912,0.045803234820590566,0.06475193011024,False
C1C2CC3CC1CC(C2)C3,24,2,0.2392582183202367,0.0589855204567056,0.23094124946580402,-0.01357194636437716,0.008316968854432671,0.07255746682108276,False
C1CCC2C(C1)CCC1C3CCCC3CCC21,12,2,0.5716019340729588,0.11372967275254932,0.5329875702246781,0.014025461922234445,0.03861436384828065,0.09970421083031487,False
C1CCCCC1,36,2,0.14680330726269533,0.08341491774098767,0.14660612527428699,0.018795844853652637,0.0001971819884083459,0.06461907288733502,False
C1CCNC1,42,2,0.16061660963645444,0.07148900183102483,0.16491757777958874,0.01578228283809686,-0.004300968143134298,0.055706718992927964,False
C1CCNCC1,80,2,0.13970307923214353,0.07516823021432845,0.13801711896659333,0.01626889302188248,0.001685960265550207,0.058899337192445965,False
C1CNCCN1,21,2,0.20531772700364004,0.09407347045581699,0.22271910789753493,0.027729134677582194,-0.017401380893894897,0.06634433577823479,False
C1COCCN1,25,2,0.21921640574610202,0.05459753944093351,0.20414041326670537,0.003984479724363359,0.015075992479396644,0.05061305971657015,False
N=C(Nc1ccccc1)Nc1ncccn1,12,2,0.4503762016574363,0.11587720359919873,0.37930208994565623,0.019317398735648222,0.07107411171178007,0.09655980486355051,False
N=C1Nc2nc3ccccc3n2C(c2ccccc2)N1,13,2,0.6062283055399342,0.05287189858623202,0.6056530815953785,-0.011756281380326108,0.0005752239445557805,0.06462817996655813,False
N=c1[nH]c2[nH]c(=O)[nH]c(=O)c2n1Cc1ccccc1,7,2,0.5311978816998523,0.07882489708211775,0.5044540177400006,0.016730812498503517,0.02674386395985162,0.062094084583614234,False
N=c1[nH]c2ccccc2n1CCOc1ccccc1,12,2,0.5445987584228502,0.22894711848070765,0.4099798508503162,0.055323753379615176,0.13461890757253403,0.17362336510109247,False
N=c1[nH]ccs1,15,2,0.17172899768528294,0.10839204037710212,0.17174884469914303,0.007091063409673612,-1.9847013860097018e-05,0.10130097696742851,False
N=c1c(C=Nc2ccccc2)n[nH]n1CC=Nc1ccccc1,9,2,0.5816415648062345,0.16094075018603501,0.5880338526470036,-0.0733565050085927,-0.006392287840769062,0.2342972551946277,False
N=c1c(C=Nc2ccccc2)n[nH]n1Cc1ccccc1,22,2,0.4797760862594031,0.17239678922578408,0.47945905613353657,0.02793641419141716,0.00031703012586653534,0.14446037503436693,False
N=c1c2c[nH]nc2nc(SCC=Nc2ccccc2)n1-c1ccccc1,7,2,0.7240444059970903,0.606096060855268,0.6963148839710573,0.49687082273530825,0.02772952202603296,0.10922523811995977,False
N=c1cc(-c2ccccc2)[nH]n(CC=Nc2ccccc2)c1=O,9,2,0.6387838105186044,0.28035146105624364,0.5475336595777136,0.08798966436055564,0.09125015094089084,0.192361796695688,False
N=c1ccn(C2CCCO2)cn1,18,2,0.3895161985583834,0.37987844789204006,0.3333519829036971,-0.05917333977889553,0.05616421565468627,0.4390517876709356,True
