UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
-21.553871,9.9932575,source_5,JCP2022_046054
11.126893,5.0853515,source_11,JCP2022_035095
-27.61474,10.2579565,source_8,JCP2022_012818
-27.69836,10.165128,source_8,JCP2022_012818
-25.039711,7.5157714,source_10,JCP2022_025848
-25.11501,7.468775,source_10,JCP2022_050797
9.866789,3.402871,source_11,JCP2022_037716
-23.187044,9.383929,source_8,JCP2022_050797
-14.970745,0.19125572,source_6,JCP2022_085227
-20.119987,8.545005,source_5,JCP2022_035095
-11.448666,3.4807012,source_6,JCP2022_046054
-11.408593,3.5776742,source_6,JCP2022_046054
11.508487,3.7073607,source_11,JCP2022_050797
-18.335321,3.7013521,source_2,JCP2022_037716
2.8456547,2.6647615,source_3,JCP2022_064022
-19.434336,3.8412673,source_2,JCP2022_012818
-18.26499,3.6092234,source_2,JCP2022_037716
10.832901,3.707741,source_11,JCP2022_050797
-15.366486,-0.01767634,source_6,JCP2022_025848
11.131592,5.036333,source_11,JCP2022_035095
-19.511341,3.6459513,source_2,JCP2022_012818
10.910268,4.018499,source_11,JCP2022_085227
-17.32249,4.7607026,source_2,JCP2022_050797
-22.469398,9.930527,source_5,JCP2022_050797
2.3745706,2.175196,source_3,JCP2022_085227
-25.423895,8.148141,source_10,JCP2022_046054
3.8127525,3.941242,source_3,JCP2022_012818
-20.248795,9.038781,source_5,JCP2022_046054
10.016753,3.6385334,source_11,JCP2022_064022
-22.90016,9.541169,source_5,JCP2022_035095
-19.386904,3.6191573,source_2,JCP2022_012818
-11.449361,3.572816,source_6,JCP2022_046054
2.1243715,2.5850418,source_3,JCP2022_037716
-26.357668,9.15674,source_10,JCP2022_064022
-25.113176,7.5096207,source_10,JCP2022_050797
-25.199099,7.650424,source_10,JCP2022_025848
4.0345798,4.118822,source_3,JCP2022_025848
-26.07076,11.233377,source_8,JCP2022_035095
-11.48635,3.4404187,source_6,JCP2022_046054
-24.734386,9.808137,source_8,JCP2022_035095
-20.891468,9.68193,source_5,JCP2022_046054
-26.071497,11.5035305,source_8,JCP2022_046054
-18.419142,4.615991,source_2,JCP2022_035095
-27.706285,10.254086,source_8,JCP2022_012818
-16.332447,-0.21712202,source_6,JCP2022_037716
-20.5549,10.48232,source_5,JCP2022_037716
-22.975632,9.53813,source_5,JCP2022_035095
2.6070993,2.4391963,source_3,JCP2022_035095
-18.373184,3.7653348,source_2,JCP2022_037716
-14.45916,-0.33909243,source_6,JCP2022_035095
-26.249088,11.302189,source_8,JCP2022_050797
-19.156073,3.857214,source_2,JCP2022_064022
-24.777462,10.643098,source_8,JCP2022_037716
2.9398224,2.7816174,source_3,JCP2022_046054
-11.266469,4.0402055,source_6,JCP2022_085227
-25.886889,11.421896,source_8,JCP2022_050797
9.683627,3.7896008,source_11,JCP2022_064022
-27.193857,9.621345,source_10,JCP2022_012818
-17.64076,4.5738587,source_2,JCP2022_025848
-18.178345,3.7218854,source_2,JCP2022_046054
-26.222982,8.837126,source_10,JCP2022_046054
-14.831096,0.33859926,source_6,JCP2022_012818
-27.591143,10.371269,source_8,JCP2022_012818
-19.315502,3.9628582,source_2,JCP2022_064022
-21.605547,9.923805,source_5,JCP2022_046054
4.503415,3.9480631,source_3,JCP2022_046054
1.4126252,2.1003137,source_3,JCP2022_035095
2.5025482,2.3115523,source_3,JCP2022_035095
-17.094702,4.723786,source_2,JCP2022_025848
-26.309282,11.291101,source_8,JCP2022_050797
10.067556,4.4249454,source_11,JCP2022_085227
-11.206069,4.1187468,source_6,JCP2022_050797
-26.165949,8.698467,source_10,JCP2022_046054
1.5292827,2.1588402,source_3,JCP2022_035095
10.677335,3.834652,source_11,JCP2022_050797
-18.1668,3.9605947,source_2,JCP2022_037716
4.140518,4.159499,source_3,JCP2022_064022
-25.604912,9.485523,source_10,JCP2022_035095
4.283153,4.100062,source_3,JCP2022_012818
2.3934085,2.189799,source_3,JCP2022_025848
4.0447693,4.146662,source_3,JCP2022_064022
-11.780609,3.887493,source_6,JCP2022_085227
