UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
25.118725,-10.658886,source_6,JCP2022_025848
25.536497,-8.262842,source_2,JCP2022_050797
22.011145,-10.68516,source_6,JCP2022_037716
25.55907,-8.213793,source_6,JCP2022_085227
22.293081,-9.493301,source_11,JCP2022_037716
26.228855,-6.9380116,source_5,JCP2022_035095
25.413807,-9.762884,source_3,JCP2022_025848
22.700386,-9.496924,source_3,JCP2022_037716
25.124651,-10.0356455,source_10,JCP2022_025848
28.415846,-9.327159,source_2,JCP2022_046054
21.886911,-9.920109,source_10,JCP2022_037716
26.272106,-6.9938927,source_5,JCP2022_035095
25.752716,-11.23186,source_8,JCP2022_064022
25.613913,-9.124823,source_8,JCP2022_085227
28.694366,-8.582285,source_6,JCP2022_046054
25.986332,-10.295938,source_10,JCP2022_085227
26.806412,-9.05791,source_3,JCP2022_085227
26.206644,-11.024761,source_8,JCP2022_064022
24.444649,-11.850902,source_8,JCP2022_012818
26.412848,-8.157107,source_8,JCP2022_025848
25.563215,-6.2860856,source_10,JCP2022_035095
26.343952,-7.7960744,source_8,JCP2022_050797
25.513609,-8.6193285,source_11,JCP2022_012818
26.453842,-11.800228,source_5,JCP2022_064022
26.798164,-11.391273,source_11,JCP2022_064022
26.536398,-7.9419966,source_11,JCP2022_035095
24.430065,-9.415673,source_3,JCP2022_035095
25.902012,-8.354277,source_6,JCP2022_012818
28.128597,-9.8265915,source_11,JCP2022_046054
24.439892,-11.256082,source_3,JCP2022_012818
27.45649,-9.692964,source_3,JCP2022_085227
27.991598,-9.1529255,source_10,JCP2022_046054
24.956861,-9.352798,source_10,JCP2022_050797
24.239782,-8.900674,source_6,JCP2022_050797
25.718412,-9.683579,source_3,JCP2022_085227
24.85505,-7.8314786,source_3,JCP2022_025848
23.471693,-9.922799,source_11,JCP2022_085227
21.813902,-10.4821825,source_8,JCP2022_037716
25.876837,-11.036781,source_8,JCP2022_064022
26.171408,-8.198906,source_3,JCP2022_025848
28.016752,-8.771202,source_8,JCP2022_046054
22.250254,-9.389374,source_11,JCP2022_037716
25.417976,-5.984328,source_10,JCP2022_035095
24.454588,-11.504941,source_2,JCP2022_012818
23.917929,-11.695276,source_10,JCP2022_012818
28.733892,-8.583435,source_6,JCP2022_046054
24.663498,-11.873733,source_10,JCP2022_012818
25.416464,-9.146318,source_10,JCP2022_085227
25.10323,-6.6645384,source_3,JCP2022_035095
21.75816,-10.635929,source_6,JCP2022_037716
25.898438,-12.023288,source_3,JCP2022_064022
23.730078,-11.350657,source_10,JCP2022_012818
26.775572,-8.5175,source_10,JCP2022_050797
25.563292,-6.3808002,source_10,JCP2022_035095
26.112778,-11.541925,source_10,JCP2022_064022
25.37423,-11.80219,source_2,JCP2022_064022
26.017435,-8.206746,source_8,JCP2022_050797
24.929773,-7.119116,source_8,JCP2022_035095
21.78485,-10.474497,source_8,JCP2022_037716
25.308342,-8.768078,source_5,JCP2022_025848
27.857359,-10.005808,source_11,JCP2022_046054
27.90764,-9.618637,source_3,JCP2022_046054
26.692598,-9.813834,source_8,JCP2022_050797
24.51532,-9.949391,source_5,JCP2022_012818
28.00694,-10.015041,source_11,JCP2022_046054
26.071686,-8.718366,source_10,JCP2022_025848
26.978296,-9.354837,source_11,JCP2022_025848
26.459295,-9.852052,source_6,JCP2022_050797
25.604351,-8.935298,source_5,JCP2022_050797
